product_id,brand,weight,cpu,cpu_series,cpu_model,cpu_cache,freq,freq_bound,gpu,gpu_model,gpu_size,HDD,SSD,screen_size,screen_acc,port_vga,port_hdmi,port_thunderbolt,port_serial,usb3,usb2,usb4,usbc,battery,os,ram,ram_kind,price
dkp-3404802,microsoft,1.642,Intel,Corei7,1065G7,8000000,1.3_3.9,_2.0,NVIDIA,NvidiaQuadroRTX3000Max,6000000000,0,1000000000000,15.0,3240x2160,0,0,0,0,2,0,0,1,0,MicrosoftWindows10,32000000000,DDR4,106409000
dkp-3404485,microsoft,1.534,Intel,Corei7,1065G7,8000000,1.3_3.9,_2.0,NVIDIA,NvidiaGeForceGTX1650Max,4000000000,0,1000000000000,13.5,3000x2000,0,0,0,0,2,0,0,1,0,MicrosoftWindows10,32000000000,DDR4,93699000
dkp-3154329,microsoft,1.642,Intel,Corei7,1065G7,8000000,1.3_3.9,_2.0,NVIDIA,NVIDIAGeForceGTX1660Ti,6000000000,0,512000000000,15.0,3240x2160,0,0,0,0,2,0,0,1,0,MicrosoftWindows10,32000000000,DDR4,86900000
dkp-3154032,microsoft,1.642,Intel,Corei7,1065G7,8000000,1.3_3.9,_2.0,NVIDIA,NVIDIAGeForceGTX1660Ti,6000000000,0,256000000000,15.0,3240x2160,0,0,0,0,2,0,0,1,0,MicrosoftWindows10,16000000000,DDR4,76299000
dkp-5020231,dell,2.56,Intel,Corei7,10750H,12000000,2.60_5.00,2.8,NVIDIA,NVIDIARTX2070,8000000000,0,1000000000000,15.6,FullHD,0,1,1,0,3,0,0,1,0,MicrosoftWindows10,32000000000,DDR4,75900000
dkp-3404108,microsoft,1.534,Intel,Corei7,1065G7,8000000,1.3_3.9,_2.0,NVIDIA,NvidiaGeForceGTX1650Max,4000000000,0,512000000000,13.5,3000x2000,0,0,0,0,2,0,0,1,0,MicrosoftWindows10,32000000000,DDR4,74699000
dkp-998199,porsche,1.58,Intel,Corei7,7thGenIntel,4000000,2.70_3.50,2.8,Intel,IntelHDGraphics620,0,0,512000000000,13.3,WQXGA,0,0,1,0,2,0,0,1,0,MicrosoftWindows10,16000000000,DDR3,68399000
dkp-2217851,apple,2,Intel,Corei9,(9880H),16000000,2.3_4.8,2.5_2.8,AMD,AMDRadeonPro5500Mwith4000000000ofGDDR6memoryandautomaticgraphicsswitchingIntelUHDGraphics630,4000000000,0,1000000000000,16,FullHD,0,0,1,0,0,0,0,0,0,AppleMacOS,16000000000,DDR4,66999000
dkp-2217554,apple,2,Intel,Corei9,(9880H),16000000,2.3_4.8,2.5_2.8,AMD,AMDRadeonPro5500Mwith4000000000ofGDDR6memoryandautomaticgraphicsswitchingIntelUHDGraphics630,4000000000,0,1000000000000,16,3072x1920,0,0,1,0,0,0,0,1,0,AppleMacOS,16000000000,DDR4,65964000
dkp-4382223,lenovo,1.35,Intel,Corei7,8565U,8000000,1.8,2.8,Intel,IntegratedIntelUHDGraphics,0,0,512000000000,14,FullHD,0,1,1,0,2,0,0,1,0,MicrosoftWindows10,16000000000,DDR4,65000000
